,f1_pos,prec,rec,execution_time(sec),tp,fp,fn,tn
0.65,0.4056603773584906,0.25443786982248523,1.0,1562.299,0,252,0,86
0.66,0.4056603773584906,0.25443786982248523,1.0,1562.298,0,252,0,86
0.67,0.4056603773584906,0.25443786982248523,1.0,1562.299,0,252,0,86
0.68,0.4056603773584906,0.25443786982248523,1.0,1562.3,0,252,0,86
0.6900000000000001,0.4056603773584906,0.25443786982248523,1.0,1562.305,0,252,0,86
0.7000000000000001,0.4056603773584906,0.25443786982248523,1.0,1562.317,0,252,0,86
0.7100000000000001,0.4056603773584906,0.25443786982248523,1.0,1562.327,0,252,0,86
0.7200000000000001,0.4056603773584906,0.25443786982248523,1.0,1562.445,0,252,0,86
0.7300000000000001,0.41346153846153844,0.2606060606060606,1.0,1562.649,8,244,0,86
0.7400000000000001,0.4444444444444445,0.2857142857142857,1.0,1563.023,37,215,0,86
0.7500000000000001,0.5325077399380805,0.3628691983122363,1.0,1563.577,101,151,0,86
0.7600000000000001,0.6746031746031745,0.5120481927710844,0.9883720930232558,1563.81,171,81,1,85
0.7700000000000001,0.8253968253968254,0.7572815533980582,0.9069767441860465,1563.637,227,25,8,78
0.7800000000000001,0.9069767441860465,0.9069767441860465,0.9069767441860465,1563.334,244,8,8,78
0.7900000000000001,0.7724137931034484,0.9491525423728814,0.6511627906976745,1563.232,249,3,30,56
0.8000000000000002,0.5254237288135593,0.96875,0.36046511627906974,1562.963,251,1,55,31
0.8100000000000002,0.16,0.5714285714285714,0.09302325581395349,1562.634,246,6,78,8
0.8200000000000002,0.04545454545454545,1.0,0.023255813953488372,1562.46,252,0,84,2
0.8300000000000002,0.022988505747126436,1.0,0.011627906976744186,1562.365,252,0,85,1
0.8400000000000002,0.0,0.0,0.0,1562.35,252,0,86,0
0.8500000000000002,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
