,f1_macro,f1_weighted,accuracy,prec,rec,execution_time(sec),tp,fp,fn,tn
0.73,0.22038690476190476,0.1274971823048746,0.26627218934911245,0.25748502994011974,1.0,2925.8248136692046,4,248,0,86
0.74,0.32465709039853113,0.26970464048733006,0.3431952662721893,0.2792207792207792,1.0,2927.7097764663695,30,222,0,86
0.75,0.5264780050434295,0.5306062560410901,0.5266272189349113,0.34959349593495936,1.0,2930.316806142807,92,160,0,86
0.76,0.7469302186283319,0.7785539730387335,0.7633136094674556,0.5180722891566265,1.0,2931.4332099609373,172,80,0,86
0.77,0.9008506893517161,0.9223166661170136,0.9201183431952663,0.7864077669902912,0.9418604651162791,2929.44812471199,230,22,5,81
0.78,0.9403550462924838,0.9551749200358889,0.9556213017751479,0.9382716049382716,0.8837209302325582,2927.3638292007445,247,5,10,76
0.79,0.8288379530916845,0.8780812757850646,0.8875739644970414,0.9444444444444444,0.5930232558139535,2926.5670335941313,249,3,35,51
0.8,0.6729100330898421,0.7793708829339241,0.8165680473372781,0.9285714285714286,0.3023255813953488,2925.8806811027525,250,2,60,26
0.81,0.5125260402756263,0.6832298254436289,0.7603550295857988,0.7272727272727273,0.09302325581395349,2925.1426077537535,249,3,78,8
0.8200000000000001,0.45129870129870125,0.6506186121570737,0.7514792899408284,1.0,0.023255813953488372,2924.792547290802,252,0,84,2
