,f2_pos,f1_macro,prec,rec,execution_time(sec),tp,fp,fn,tn
0.73,0.4227272727272727,0.2734326018808777,0.2680115273775216,1.0,1584.7239088726044,18,254,0,93
0.74,0.48691099476439786,0.46184630197990006,0.3217993079584775,1.0,1585.0770098876953,76,196,0,93
0.75,0.6019417475728156,0.6548901136913959,0.4305555555555556,1.0,1585.324267835617,149,123,0,93
0.76,0.6923076923076924,0.7610474631751228,0.5389221556886228,0.967741935483871,1585.4452435684204,195,77,3,90
0.77,0.7247706422018348,0.8037915711009175,0.632,0.8494623655913979,1585.3585073661804,226,46,14,79
0.78,0.7040816326530613,0.7977337002216618,0.6699029126213593,0.7419354838709677,1585.5482239437104,238,34,24,69
0.79,0.5479452054794521,0.7174657534246576,0.7547169811320755,0.43010752688172044,1585.4745430660248,259,13,53,40
0.8,0.35000000000000003,0.6110655737704919,0.7777777777777778,0.22580645161290322,1585.347958059311,266,6,72,21
0.81,0.13008130081300814,0.4769022649040329,0.26666666666666666,0.08602150537634409,1585.1408672046662,250,22,85,8
0.8200000000000001,0.07476635514018691,0.4579289239585365,0.2857142857142857,0.043010752688172046,1584.8077361297608,262,10,89,4
