,f2_pos,f1_macro,prec,rec,execution_time(sec),tp,fp,fn,tn
0.73,0.46808510638297873,0.4261607797924746,0.3055555555555556,1.0,845.7942114334106,39,125,0,55
0.74,0.6285714285714286,0.6907115697990223,0.4583333333333333,1.0,845.9079328041076,99,65,0,55
0.75,0.6625,0.7341276978417266,0.5047619047619047,0.9636363636363636,845.9452288608551,112,52,2,53
0.76,0.8595041322314049,0.9029381859895195,0.7878787878787878,0.9454545454545454,845.9508429031372,150,14,3,52
0.77,0.9038461538461537,0.9369530170428373,0.9591836734693877,0.8545454545454545,845.9796824913025,162,2,8,47
0.78,0.7499999999999999,0.8399122807017543,0.8780487804878049,0.6545454545454545,845.961943195343,159,5,19,36
0.79,0.6341463414634146,0.7749383392710332,0.9629629629629629,0.4727272727272727,845.9045165042877,163,1,29,26
0.8,0.4657534246575342,0.6794520547945205,0.9444444444444444,0.3090909090909091,845.8561418514251,163,1,38,17
0.81,0.13559322033898305,0.5005142882697554,1.0,0.07272727272727272,845.774370716095,164,0,51,4
0.8200000000000001,0.03571428571428572,0.4471765145848916,1.0,0.01818181818181818,845.714226530075,164,0,54,1
