,0,1
SVC_Biomineralization_train_ratio_1_1_test_ratio,0.937615356,0.78
LinearSVC_Biomineralization_train_ratio_1_1_test_ratio,0.904328431,0.78
LR_Biomineralization_train_ratio_1_1_test_ratio,0.931850798,0.78
SVC_Biomineralization_train_ratio_1_4_test_ratio,0.508405698,0.77
LinearSVC_Biomineralization_train_ratio_1_4_test_ratio,0.496620461,0.77
LR_Biomineralization_train_ratio_1_4_test_ratio,0.504779747,0.78
SVC_Chlorophyceae_train_ratio_1_1_test_ratio,0.806550426,0.77
LinearSVC_Chlorophyceae_train_ratio_1_1_test_ratio,0.798916234,0.77
LR_Chlorophyceae_train_ratio_1_1_test_ratio,0.829045972,0.77
SVC_Chlorophyceae_train_ratio_1_4_test_ratio,0.503424658,0.79
LinearSVC_Chlorophyceae_train_ratio_1_4_test_ratio,0.513333333,0.78
LR_Chlorophyceae_train_ratio_1_4_test_ratio,0.513333333,0.78
SVC_Cytoglobin_train_ratio_1_1_test_ratio,0.936953017,0.77
LinearSVC_Cytoglobin_train_ratio_1_1_test_ratio,0.923319328,0.77
LR_Cytoglobin_train_ratio_1_1_test_ratio,0.933630879,0.76
SVC_Cytoglobin_train_ratio_1_4_test_ratio,0.495769972,0.76
LinearSVC_Cytoglobin_train_ratio_1_4_test_ratio,0.487064208,0.76
LR_Cytoglobin_train_ratio_1_4_test_ratio,0.480912412,0.76
