,f1_pos,prec,rec,execution_time(sec),tp,fp,fn,tn
0.65,0.4056603773584906,0.25443786982248523,1.0,1989.892,0,252,0,86
0.66,0.4056603773584906,0.25443786982248523,1.0,1989.905,0,252,0,86
0.67,0.4056603773584906,0.25443786982248523,1.0,1989.908,0,252,0,86
0.68,0.4056603773584906,0.25443786982248523,1.0,1990.176,0,252,0,86
0.6900000000000001,0.4056603773584906,0.25443786982248523,1.0,1990.471,0,252,0,86
0.7000000000000001,0.4056603773584906,0.25443786982248523,1.0,1990.684,0,252,0,86
0.7100000000000001,0.4056603773584906,0.25443786982248523,1.0,1990.97,0,252,0,86
0.7200000000000001,0.4056603773584906,0.25443786982248523,1.0,1992.001,0,252,0,86
0.7300000000000001,0.4056603773584906,0.25443786982248523,1.0,1993.81,0,252,0,86
0.7400000000000001,0.4066193853427896,0.2551928783382789,1.0,1996.307,1,251,0,86
0.7500000000000001,0.4598930481283422,0.2986111111111111,1.0,1998.771,50,202,0,86
0.7600000000000001,0.6746031746031745,0.5120481927710844,0.9883720930232558,1999.795,171,81,1,85
0.7700000000000001,0.8111111111111111,0.776595744680851,0.8488372093023255,1998.05,231,21,13,73
0.7800000000000001,0.7785234899328859,0.9206349206349206,0.6744186046511628,1995.94,247,5,28,58
0.7900000000000001,0.6080000000000001,0.9743589743589743,0.4418604651162791,1993.89,251,1,48,38
0.8000000000000002,0.3137254901960785,1.0,0.18604651162790697,1992.661,252,0,70,16
0.8100000000000002,0.04545454545454545,1.0,0.023255813953488372,1991.35,252,0,84,2
0.8200000000000002,0.0,0.0,0.0,1990.791,252,0,86,0
0.8300000000000002,0.0,0.0,0.0,1990.164,252,0,86,0
0.8400000000000002,0.0,0.0,0.0,1990.124,252,0,86,0
0.8500000000000002,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
