,f1_pos,prec,rec,execution_time(sec),tp,fp,fn,tn
0.65,0.40611353711790393,0.2547945205479452,1.0,1069.903,0,272,0,93
0.66,0.40611353711790393,0.2547945205479452,1.0,1069.909,0,272,0,93
0.67,0.40611353711790393,0.2547945205479452,1.0,1069.901,0,272,0,93
0.68,0.40611353711790393,0.2547945205479452,1.0,1070.062,0,272,0,93
0.6900000000000001,0.40611353711790393,0.2547945205479452,1.0,1070.061,0,272,0,93
0.7000000000000001,0.40611353711790393,0.2547945205479452,1.0,1070.189,0,272,0,93
0.7100000000000001,0.40611353711790393,0.2547945205479452,1.0,1070.546,0,272,0,93
0.7200000000000001,0.40611353711790393,0.2547945205479452,1.0,1070.879,0,272,0,93
0.7300000000000001,0.4078947368421052,0.256198347107438,1.0,1071.238,2,270,0,93
0.7400000000000001,0.431554524361949,0.27514792899408286,1.0,1071.622,27,245,0,93
0.7500000000000001,0.577639751552795,0.40611353711790393,1.0,1071.905,136,136,0,93
0.7600000000000001,0.7058823529411765,0.5555555555555556,0.967741935483871,1072.518,200,72,3,90
0.7700000000000001,0.7876106194690266,0.6691729323308271,0.956989247311828,1072.584,228,44,4,89
0.7800000000000001,0.7523809523809524,0.6752136752136753,0.8494623655913979,1072.564,234,38,14,79
0.7900000000000001,0.5238095238095238,0.5866666666666667,0.4731182795698925,1072.12,241,31,49,44
0.8000000000000002,0.3007518796992481,0.5,0.21505376344086022,1071.843,252,20,73,20
0.8100000000000002,0.12,0.8571428571428571,0.06451612903225806,1071.553,271,1,87,6
0.8200000000000002,0.021276595744680854,1.0,0.010752688172043012,1071.119,272,0,92,1
0.8300000000000002,0.0,0.0,0.0,1070.641,272,0,93,0
0.8400000000000002,0.0,0.0,0.0,1070.173,272,0,93,0
0.8500000000000002,0.0,0.0,0.0,1070.068,272,0,93,0
