,f1_macro,f1_weighted,accuracy,prec,rec,execution_time(sec),tp,fp,fn,tn
0.73,0.21530469530469531,0.12041678869076132,0.26301369863013696,0.2569060773480663,1.0,2023.6139734725953,3,269,0,93
0.74,0.3025260999254288,0.23973905182188715,0.32602739726027397,0.2743362831858407,1.0,2025.960697505951,26,246,0,93
0.75,0.5941407402364581,0.611590632073017,0.5972602739726027,0.3875,1.0,2027.5703941326142,125,147,0,93
0.76,0.7941931411739954,0.8273755868679912,0.8164383561643835,0.5855263157894737,0.956989247311828,2027.0867153148652,209,63,4,89
0.77,0.8288976747065744,0.8615422902390066,0.8547945205479452,0.6538461538461539,0.9139784946236559,2025.9068175296784,227,45,8,85
0.78,0.8366206036132989,0.8734991564985748,0.8712328767123287,0.7211538461538461,0.8064516129032258,2024.9794763069153,243,29,18,75
0.79,0.7011374701248119,0.7842581555777324,0.7972602739726027,0.6461538461538462,0.45161290322580644,2023.842362974167,249,23,51,42
0.8,0.573686669435216,0.7094381456787877,0.7534246575342466,0.5428571428571428,0.20430107526881722,2023.0604537467957,256,16,74,19
0.81,0.4901587301587302,0.6716886279626006,0.7589041095890411,0.8571428571428571,0.06451612903225806,2022.0142692070008,271,1,87,6
0.8200000000000001,0.4383112538471832,0.6428296204234788,0.7479452054794521,1.0,0.010752688172043012,2020.9480997066498,272,0,92,1
