,f1_pos,f1_macro,prec,rec,execution_time(sec),tp,fp,fn,tn
0.73,0.40892193308550184,0.23404676535931895,0.2570093457943925,1.0,1067.2837339363098,5,159,0,55
0.74,0.5116279069767442,0.5203879445197622,0.34375,1.0,1067.6594949684143,59,105,0,55
0.75,0.7412587412587412,0.807917506222591,0.6022727272727273,0.9636363636363636,1068.166745754242,129,35,2,53
0.76,0.9074074074074073,0.9385521885521886,0.9245283018867925,0.8909090909090909,1068.0714434108734,160,4,6,49
0.77,0.8775510204081634,0.9211284513805522,1.0,0.7818181818181819,1067.882965894699,164,0,12,43
0.78,0.8541666666666666,0.9066154970760234,1.0,0.7454545454545455,1067.0327063522338,164,0,14,41
0.79,0.6746987951807228,0.799321228576277,1.0,0.509090909090909,1066.5259774646759,164,0,27,28
0.8,0.25396825396825395,0.5643174603174603,1.0,0.14545454545454545,1066.1123197994232,164,0,47,8
0.81,0.0,0.4281984334203655,0.0,0.0,1065.974915119171,164,0,55,0
0.8200000000000001,0.0,0.4281984334203655,0.0,0.0,1065.6954015216827,164,0,55,0
